time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:36:07.722,-110,-58,3814,-76,-53,-8
2017-01-13_14:36:07.725,-31,-11,3849,-80,-27,-29
2017-01-13_14:36:07.729,-92,-17,3813,-109,-53,-34
2017-01-13_14:36:07.733,-58,-67,3819,-108,-37,-47
2017-01-13_14:36:07.736,-40,-64,3876,-132,-24,-9
2017-01-13_14:36:07.740,-79,-25,3829,-91,-62,-9
2017-01-13_14:36:07.744,-30,-24,3767,-93,-33,-3
2017-01-13_14:36:07.747,-7,-32,3835,-72,-30,-46
2017-01-13_14:36:07.751,-53,-56,3848,-103,-52,-14
2017-01-13_14:36:07.755,-31,-51,3867,-120,-57,-10
2017-01-13_14:36:07.759,-81,-36,3852,-120,-32,-243
2017-01-13_14:36:07.762,-48,-27,3834,-100,-47,-19
2017-01-13_14:36:07.766,-48,-14,3796,-99,-46,-255
2017-01-13_14:36:07.769,-55,-35,3829,-71,-33,-20
2017-01-13_14:36:07.773,-19,-22,3836,-81,-32,-244
2017-01-13_14:36:07.776,-76,-24,3839,-64,-30,-22
2017-01-13_14:36:07.780,-49,-37,3821,-91,-41,-32
2017-01-13_14:36:07.783,-68,-31,3864,-107,-35,-31
2017-01-13_14:36:07.787,-37,-37,3813,-125,-10,217
2017-01-13_14:36:07.791,-68,-38,3845,-105,-22,-14
2017-01-13_14:36:07.794,-80,-31,3855,-82,-29,-42
2017-01-13_14:36:07.798,-79,-37,3871,-63,-26,-32
2017-01-13_14:36:07.801,-63,-31,3855,-107,-24,215
2017-01-13_14:36:07.805,-78,-41,3874,-99,-43,-39
2017-01-13_14:36:07.809,-47,-20,3888,-130,-26,-24
2017-01-13_14:36:07.812,-76,-31,3831,-130,-46,-23
2017-01-13_14:36:07.816,-70,-35,3846,-98,-46,-54
2017-01-13_14:36:07.819,-85,-36,3861,-78,-44,-29
2017-01-13_14:36:07.823,-77,-39,3884,-84,-20,-19
2017-01-13_14:36:07.827,-83,-27,3874,-77,-26,-18
2017-01-13_14:36:07.830,-88,-45,3866,-96,-34,-24
2017-01-13_14:36:07.834,-68,-20,3840,-120,-27,-1
2017-01-13_14:36:07.837,-56,-52,3845,-133,-61,-33
2017-01-13_14:36:07.841,-121,-47,3860,-100,-46,-13
2017-01-13_14:36:07.845,-96,-26,3844,-82,-37,-18
2017-01-13_14:36:07.848,-110,-32,3875,-81,-41,-15
2017-01-13_14:36:07.852,-90,-17,3886,-106,-31,-12
2017-01-13_14:36:07.855,-86,-25,3854,-110,-34,-49
2017-01-13_14:36:07.859,-79,-27,3863,-119,-10,-33
2017-01-13_14:36:07.863,-67,-34,3857,-126,-14,-28
2017-01-13_14:36:07.866,-80,-22,3876,-108,-30,-21
2017-01-13_14:36:07.870,-57,-42,3855,-76,-13,-25
2017-01-13_14:36:07.874,-94,-37,3863,-81,-26,-40
2017-01-13_14:36:07.878,-77,-45,3860,-85,-36,-33
2017-01-13_14:36:07.881,-67,-21,3871,-105,-49,-17
2017-01-13_14:36:07.885,-75,-37,3877,-122,-30,-41
2017-01-13_14:36:07.888,-70,-42,3872,-118,-29,-38
2017-01-13_14:36:07.892,-85,-13,3855,-114,-32,-31
2017-01-13_14:36:07.895,-70,-36,3871,-61,-24,-20
2017-01-13_14:36:07.899,-60,-36,3867,-68,-29,-25
2017-01-13_14:36:07.903,-76,-72,3849,-122,-31,-26
2017-01-13_14:36:07.906,-89,-30,3871,-105,-5,-14
2017-01-13_14:36:07.910,-69,-37,3889,-130,-19,-33
2017-01-13_14:36:07.913,-82,-32,3850,-135,-37,-20
2017-01-13_14:36:07.917,-95,-44,3867,-115,-36,-9
2017-01-13_14:36:07.921,-59,-29,3813,-117,-34,-35
2017-01-13_14:36:07.924,-49,-29,3823,-66,-43,-252
2017-01-13_14:36:07.928,-78,-43,3831,-103,-40,-251
2017-01-13_14:36:07.932,-66,-17,3900,-113,-19,-39
2017-01-13_14:36:07.935,-56,-37,3866,-127,-37,2
2017-01-13_14:36:07.939,-72,-33,3836,-112,-18,-11
2017-01-13_14:36:07.942,-107,-10,3851,-106,-27,-30
2017-01-13_14:36:07.946,-96,-44,3864,-90,-24,-14
2017-01-13_14:36:07.949,-52,-10,3865,-78,-13,-5
2017-01-13_14:36:07.953,-75,-48,3863,-82,-27,-21
2017-01-13_14:36:07.957,-70,-43,3843,-114,-27,-28
2017-01-13_14:36:07.960,-78,-48,3886,-129,-40,-19
2017-01-13_14:36:07.964,-79,-20,3855,-120,-5,-11
2017-01-13_14:36:07.968,-68,-30,3860,-123,-42,-34
2017-01-13_14:36:07.971,-83,-39,3866,-89,-25,206
2017-01-13_14:36:07.975,-68,-33,3839,-78,-50,-42
2017-01-13_14:36:07.979,-51,-6,3854,-87,-22,-22
2017-01-13_14:36:07.983,-44,-18,3824,-128,-41,-6
2017-01-13_14:36:07.985,-73,-46,3858,-118,-28,-20
2017-01-13_14:36:07.989,-115,-37,3890,-119,-27,-29
2017-01-13_14:36:07.993,-44,-39,3902,-111,-25,-18
2017-01-13_14:36:07.996,-76,-39,3850,-95,-52,-11
2017-01-13_14:36,-81,-23,3852,-78,-39,-29
2017-01-13_14:36:08.003,-59,-26,3823,-97,-52,-26
2017-01-13_14:36:08.007,-62,-32,3855,-91,-22,-35
2017-01-13_14:36:08.011,-100,-55,3840,-137,-27,-15
2017-01-13_14:36:08.014,-55,-36,3863,-132,-14,216
2017-01-13_14:36:08.018,-91,-47,3846,-100,-23,-17
2017-01-13_14:36:08.021,-63,-46,3817,-64,-24,-25
2017-01-13_14:36:08.025,-92,-40,3887,-70,-41,-248
2017-01-13_14:36:08.029,-71,-51,3869,-71,-27,-32
2017-01-13_14:36:08.032,-74,-40,3845,-112,-16,-13
2017-01-13_14:36:08.037,-39,-24,3875,-137,-47,-21
2017-01-13_14:36:08.040,-92,-16,3858,-132,-23,224
2017-01-13_14:36:08.044,-71,-29,3862,-79,-43,-8
2017-01-13_14:36:08.048,-106,-40,3835,-109,-22,-11
2017-01-13_14:36:08.051,-59,-51,3872,-81,-41,-42
2017-01-13_14:36:08.055,-82,-33,3872,-65,-18,-37
2017-01-13_14:36:08.058,-81,-40,3870,-114,-38,-25
2017-01-13_14:36:08.062,-80,-36,3858,-100,-27,-35
2017-01-13_14:36:08.066,-65,-31,3866,-127,-33,-51
2017-01-13_14:36:08.069,-53,-44,3818,-91,-25,-49
2017-01-13_14:36:08.073,-88,-18,3892,-84,-50,-4
2017-01-13_14:36:08.076,-57,-29,3882,-105,-40,-36
2017-01-13_14:36:08.080,-55,-41,3837,-96,-33,-31
2017-01-13_14:36:08.083,-69,-17,3870,-102,-16,-17
2017-01-13_14:36:08.087,-97,-48,3883,-118,-32,-31
2017-01-13_14:36:08.091,-94,-29,3848,-126,-25,-26
2017-01-13_14:36:08.094,-64,-33,3853,-111,-26,-13
2017-01-13_14:36:08.098,-74,-21,3841,-94,-34,-34
2017-01-13_14:36:08.101,-72,-27,3603,-88,-61,-39
2017-01-13_14:36:08.105,-101,-31,3846,-95,-30,-7
2017-01-13_14:36:08.109,-77,-40,3839,-93,-51,-248
2017-01-13_14:36:08.112,-94,-40,4094,-131,-40,-22
2017-01-13_14:36:08.116,-73,-27,3907,-136,-26,-26
2017-01-13_14:36:08.119,-81,-45,3835,-102,-42,-24
2017-01-13_14:36:08.123,-72,-33,3868,-118,-20,-32
2017-01-13_14:36:08.127,-63,-47,3876,-58,-40,-17
2017-01-13_14:36:08.130,-72,-5,3879,-82,-31,-37
2017-01-13_14:36:08.134,-59,-46,3850,-101,-40,-17
2017-01-13_14:36:08.137,-76,-38,3866,-100,-17,-19
2017-01-13_14:36:08.141,-90,-20,3873,-131,-17,-18
2017-01-13_14:36:08.145,-83,-51,3829,-85,-48,-60
2017-01-13_14:36:08.148,-72,-40,3882,-93,-27,-32
2017-01-13_14:36:08.152,-64,-20,3851,-66,-7,-39
2017-01-13_14:36:08.155,-68,-31,3840,-73,-23,-17
2017-01-13_14:36:08.159,-77,-50,3811,-124,-34,-49
2017-01-13_14:36:08.163,-83,-38,3836,-97,-44,-31
2017-01-13_14:36:08.166,-92,-40,3845,-135,-29,-38
2017-01-13_14:36:08.170,-65,-43,3871,-115,-29,-50
2017-01-13_14:36:08.174,-70,-45,3883,-85,-41,-20
2017-01-13_14:36:08.178,-90,-18,3870,-79,-32,-23
2017-01-13_14:36:08.181,-70,-48,3862,-97,-59,-15
2017-01-13_14:36:08.184,-86,-22,3861,-106,-42,-28
2017-01-13_14:36:08.188,-72,-37,3888,-109,-36,-12
2017-01-13_14:36:08.192,-63,-26,3900,-144,-19,-15
