time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_11:30:35.385,124,-984,3802,-82,-37,-27
2017-01-13_11:30:35.402,160,-1015,3817,-107,-55,-25
2017-01-13_11:30:35.406,138,-997,3815,-109,-34,-32
2017-01-13_11:30:35.409,142,-1007,3790,-132,-40,-47
2017-01-13_11:30:35.413,128,-1002,3825,-103,-11,-34
2017-01-13_11:30:35.416,169,-772,3794,-95,-58,-21
2017-01-13_11:30:35.420,137,-1006,3826,-65,-15,-36
2017-01-13_11:30:35.424,146,-996,3818,-74,-37,188
2017-01-13_11:30:35.427,100,-993,3827,-74,-36,-3
2017-01-13_11:30:35.431,145,-979,3842,-60,-22,-7
2017-01-13_11:30:35.435,105,-967,3796,-118,-24,-7
2017-01-13_11:30:35.438,147,-952,3820,-118,-40,-2
2017-01-13_11:30:35.442,111,-951,3827,-120,-17,2
2017-01-13_11:30:35.445,135,-994,3798,-100,-23,-17
2017-01-13_11:30:35.449,121,-982,3786,-74,-22,221
2017-01-13_11:30:35.453,125,-955,3809,-58,-46,-29
2017-01-13_11:30:35.457,140,-970,3803,-114,-36,-28
2017-01-13_11:30:35.460,120,-960,3839,-107,-35,-31
2017-01-13_11:30:35.464,120,-969,3804,-110,-27,210
2017-01-13_11:30:35.468,141,-960,3788,-110,-29,-39
2017-01-13_11:30:35.471,111,-966,3773,-81,-24,-36
2017-01-13_11:30:35.474,157,-980,3827,-90,-37,-6
2017-01-13_11:30:35.478,113,-1000,3840,-72,-22,-252
2017-01-13_11:30:35.482,123,-973,3834,-108,-20,-30
2017-01-13_11:30:35.485,134,-973,3819,-141,-35,-14
2017-01-13_11:30:35.489,126,-998,3821,-118,-27,-45
2017-01-13_11:30:35.492,127,-1008,3842,-117,-34,-27
2017-01-13_11:30:35.496,139,-980,3823,-73,-18,-5
2017-01-13_11:30:35.500,124,-995,3809,-87,-33,-12
2017-01-13_11:30:35.503,135,-985,3813,-94,-47,-16
2017-01-13_11:30:35.507,112,-998,3803,-94,-56,-24
2017-01-13_11:30:35.511,156,-1000,3807,-134,-31,-27
2017-01-13_11:30:35.514,151,-1008,3812,-133,-33,-11
2017-01-13_11:30:35.518,139,-962,3803,-113,-36,0
2017-01-13_11:30:35.522,98,-1000,3839,-97,-15,-16
2017-01-13_11:30:35.525,129,-1014,3800,-81,-18,-30
2017-01-13_11:30:35.529,130,-971,3830,-88,-49,-44
2017-01-13_11:30:35.532,143,-1000,3797,-93,-40,-13
2017-01-13_11:30:35.536,137,-976,3786,-109,-37,-18
2017-01-13_11:30:35.540,125,-976,3829,-127,-50,-29
2017-01-13_11:30:35.543,132,-984,3828,-123,-16,-53
2017-01-13_11:30:35.547,157,-984,3849,-91,-18,-36
2017-01-13_11:30:35.550,145,-978,3805,-88,-38,-45
2017-01-13_11:30:35.554,169,-973,3828,-71,-50,-34
2017-01-13_11:30:35.558,117,-998,3839,-99,-17,-39
2017-01-13_11:30:35.562,158,-971,3830,-115,-12,-61
2017-01-13_11:30:35.565,159,-977,3789,-105,-9,-32
2017-01-13_11:30:35.569,152,-979,3824,-110,-32,-18
2017-01-13_11:30:35.572,98,-972,3822,-124,-34,-11
2017-01-13_11:30:35.576,121,-972,3833,-89,-23,-7
2017-01-13_11:30:35.579,84,-992,3803,-93,-30,-10
2017-01-13_11:30:35.583,117,-999,3809,-93,-51,-256
2017-01-13_11:30:35.586,128,-986,3795,-128,-40,-5
2017-01-13_11:30:35.590,159,-945,3822,-140,-11,-246
2017-01-13_11:30:35.594,113,-984,3846,-129,-18,-3
2017-01-13_11:30:35.597,150,-977,3829,-97,-7,-251
2017-01-13_11:30:35.601,130,-970,3804,-73,-18,233
2017-01-13_11:30:35.604,159,-980,3832,-90,-6,-25
2017-01-13_11:30:35.608,111,-990,3824,-85,-17,-22
2017-01-13_11:30:35.612,161,-970,3816,-111,-26,-18
2017-01-13_11:30:35.615,112,-966,3812,-112,-47,-29
2017-01-13_11:30:35.619,112,-967,3851,-125,-37,-4
2017-01-13_11:30:35.622,130,-982,3834,-92,-31,-18
2017-01-13_11:30:35.626,127,-1007,3841,-115,-30,-28
2017-01-13_11:30:35.630,118,-970,3816,-81,-38,-32
2017-01-13_11:30:35.633,115,-963,3837,-106,-9,-13
2017-01-13_11:30:35.637,104,-965,3798,-109,-42,-40
2017-01-13_11:30:35.641,105,-986,3853,-99,-20,-19
2017-01-13_11:30:35.644,106,-996,3847,-117,-12,-29
