time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:35:59.952,-66,-24,3874,-58,-18,205
2017-01-13_14:35:59.956,-76,-42,3862,-95,-42,-1
2017-01-13_14:35:59.959,-79,-23,3868,-88,-27,-31
2017-01-13_14:35:59.963,-81,-40,3886,-103,-46,-25
2017-01-13_14:35:59.967,-81,-58,3873,-120,-40,-44
2017-01-13_14:35:59.971,-63,-41,3883,-132,-26,-28
2017-01-13_14:35:59.974,-72,-52,3886,-89,-28,-36
2017-01-13_14:35:59.977,-66,-27,3850,-85,-11,-47
2017-01-13_14:35:59.981,-96,-62,3847,-78,-32,-38
2017-01-13_14:35:59.985,-64,-27,3881,-76,-32,-62
2017-01-13_14:35:59.988,-91,-38,3840,-97,-42,-29
2017-01-13_14:35:59.992,-93,-29,3864,-124,-46,-44
2017-01-13_14:35:59.996,-74,-21,3880,-111,-42,-44
2017-01-13_14:35:59.999,-89,-35,3889,-134,-48,-59
2017-01-13_14:36:00.003,-68,-40,3863,-62,-42,-20
2017-01-13_14:36:00.006,-52,-36,3887,-86,-43,-27
2017-01-13_14:36:00.010,-61,-36,4087,-112,-38,-26
2017-01-13_14:36:00.014,-65,-51,3817,-107,-34,-23
2017-01-13_14:36:00.017,-82,-37,3871,-151,-34,-25
2017-01-13_14:36:00.021,-87,-44,3857,-124,-36,-11
2017-01-13_14:36:00.024,-70,-55,3858,-104,-28,-5
2017-01-13_14:36:00.028,-46,-39,3849,-78,-19,-11
2017-01-13_14:36:00.032,-116,-49,3851,-85,-41,-45
2017-01-13_14:36:00.036,-80,-33,3852,-98,-11,-35
2017-01-13_14:36:00.039,-90,-59,3870,-122,-22,-14
2017-01-13_14:36:00.043,-77,-31,3866,-130,-26,-15
2017-01-13_14:36:00.046,-69,-35,3859,-121,-27,-12
2017-01-13_14:36:00.050,-66,-46,3860,-95,-35,-23
2017-01-13_14:36:00.053,-70,-30,3867,-89,-9,-27
2017-01-13_14:36:00.057,-81,-26,3878,-64,-25,-34
2017-01-13_14:36:00.061,-67,-46,3859,-79,-19,-36
2017-01-13_14:36:00.065,-53,-37,3837,-135,-29,-33
2017-01-13_14:36:00.068,-88,-30,3836,-133,-33,-29
2017-01-13_14:36:00.072,-45,-49,3844,-100,-36,-40
2017-01-13_14:36:00.076,-92,-19,3871,-109,-35,-27
2017-01-13_14:36:00.079,-59,-38,3880,-89,-25,-23
2017-01-13_14:36:00.082,-70,-19,3839,-59,-36,-15
2017-01-13_14:36:00.086,-55,-12,3893,-102,-34,-25
2017-01-13_14:36:00.090,-81,-20,3854,-109,-44,-5
2017-01-13_14:36:00.093,-73,-34,3859,-125,-26,-37
2017-01-13_14:36:00.097,-93,-30,3870,-125,-22,-253
2017-01-13_14:36:00.100,-41,-43,3847,-117,-13,-36
2017-01-13_14:36:00.104,-70,-30,3871,-99,-10,-40
2017-01-13_14:36:00.108,-65,-33,3878,-76,-21,-12
2017-01-13_14:36:00.111,-88,-35,3849,-89,-25,-7
2017-01-13_14:36:00.115,-80,-43,3874,-94,-27,219
2017-01-13_14:36:00.118,-75,-46,3867,-134,-49,221
2017-01-13_14:36:00.122,-68,-22,3859,-131,-38,-22
2017-01-13_14:36:00.126,-96,-39,3866,-143,-36,-14
2017-01-13_14:36:00.129,-64,-49,3856,-85,-5,203
2017-01-13_14:36:00.133,-86,-36,3617,-79,-40,-35
2017-01-13_14:36:00.137,-69,-61,3889,-84,-53,-29
2017-01-13_14:36:00.141,-103,-31,3841,-122,-39,-11
2017-01-13_14:36:00.144,-76,-29,3912,-130,-32,-37
2017-01-13_14:36:00.147,-82,-39,3835,-115,-32,-37
2017-01-13_14:36:00.151,-59,-41,4081,-136,-16,-44
2017-01-13_14:36:00.155,-98,-29,3842,-102,-32,-44
2017-01-13_14:36:00.158,-84,-43,3830,-83,-22,-29
2017-01-13_14:36:00.162,-79,-36,3898,-91,-19,-47
2017-01-13_14:36:00.166,-78,-8,3863,-91,-35,-30
2017-01-13_14:36:00.169,-104,-45,3912,-106,-21,4
2017-01-13_14:36:00.173,-80,-27,3861,-100,-36,-10
2017-01-13_14:36:00.176,-76,-35,3877,-117,-48,-23
2017-01-13_14:36:00.180,-72,-37,4094,-103,-51,-16
2017-01-13_14:36:00.184,-56,-66,3891,-92,-57,-13
2017-01-13_14:36:00.187,-79,-22,3855,-79,-44,-254
2017-01-13_14:36:00.191,-86,-46,3873,-97,-24,-13
2017-01-13_14:36:00.194,-92,-31,3847,-135,-27,220
2017-01-13_14:36:00.198,-78,-30,3880,-123,-49,-32
2017-01-13_14:36:00.202,-60,-27,3879,-121,-14,-18
2017-01-13_14:36:00.205,-90,-57,3904,-90,-35,-25
2017-01-13_14:36:00.209,-68,-37,3876,-76,-24,-23
2017-01-13_14:36:00.212,-85,-61,3852,-93,-33,201
2017-01-13_14:36:00.216,-84,-39,3836,-101,-26,3
2017-01-13_14:36:00.219,-92,-21,3855,-108,-62,-6
2017-01-13_14:36:00.223,-91,-31,3849,-130,-13,-15
2017-01-13_14:36:00.227,-75,-41,3871,-119,-36,-2
2017-01-13_14:36:00.230,-49,-32,3842,-84,-45,-66
2017-01-13_14:36:00.234,-94,-27,3854,-74,-45,-51
2017-01-13_14:36:00.238,-60,-28,3909,-77,-32,-43
2017-01-13_14:36:00.241,-74,-42,3887,-66,-49,-28
2017-01-13_14:36:00.245,-86,-30,3853,-101,-50,-17
2017-01-13_14:36:00.248,-79,-64,3842,-109,-27,-12
2017-01-13_14:36:00.252,-64,-20,3861,-127,-30,-53
2017-01-13_14:36:00.256,-55,-5,3878,-107,-24,-17
2017-01-13_14:36:00.259,-75,-27,3880,-73,-34,-41
2017-01-13_14:36:00.263,-64,-57,3837,-75,-48,-24
2017-01-13_14:36:00.267,-95,-30,3891,-72,-36,210
