time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_11:13:31.370,363,-33,3807,-28,0,-34
2017-01-13_11:13:31.374,345,-23,3795,-47,243,5
2017-01-13_11:13:31.377,376,-12,3799,-63,-16,238
2017-01-13_11:13:31.381,367,-51,3818,-41,-19,6
2017-01-13_11:13:31.385,358,-16,3773,-42,-22,-13
2017-01-13_11:13:31.389,350,-46,3838,-79,-254,-13
2017-01-13_11:13:31.392,341,-41,3799,-39,-20,230
2017-01-13_11:13:31.395,315,-26,3810,-44,-3,-244
2017-01-13_11:13:31.399,328,-21,3773,-52,-11,234
2017-01-13_11:13:31.402,349,-62,3802,-52,-2,241
2017-01-13_11:13:31.406,393,-30,3795,-34,-30,-253
2017-01-13_11:13:31.411,343,-40,3744,-56,3,237
2017-01-13_11:13:31.414,363,-20,3786,-68,246,-16
2017-01-13_11:13:31.418,363,-14,3761,-21,-1,244
2017-01-13_11:13:31.421,339,-47,3811,-31,-8,244
2017-01-13_11:13:31.425,351,-44,3802,-56,-2,-42
2017-01-13_11:13:31.429,340,-37,3791,-45,228,-228
2017-01-13_11:13:31.432,344,-38,3807,-37,-19,-10
2017-01-13_11:13:31.436,333,-38,3792,-54,-14,-27
2017-01-13_11:13:31.440,338,-40,3790,-85,244,3
2017-01-13_11:13:31.443,374,-42,3811,-30,-14,224
2017-01-13_11:13:31.447,348,-54,3812,-15,-20,-250
2017-01-13_11:13:31.450,337,-50,3802,-47,-10,241
2017-01-13_11:13:31.454,346,-12,3793,-27,-18,-27
2017-01-13_11:13:31.458,375,-48,3774,-20,-253,-1
2017-01-13_11:13:31.461,361,-27,3769,-58,-250,223
2017-01-13_11:13:31.465,355,-48,3812,-81,234,-12
2017-01-13_11:13:31.469,350,-36,3800,-28,-25,-2
2017-01-13_11:13:31.472,369,-34,3842,-43,-249,0
2017-01-13_11:13:31.476,341,-20,3764,-55,-12,220
2017-01-13_11:13:31.479,349,-20,3831,-58,-3,-27
2017-01-13_11:13:31.483,382,-34,3771,-6,231,254
2017-01-13_11:13:31.487,351,-39,3792,-67,-26,-13
2017-01-13_11:13:31.490,346,-20,3807,-71,-13,-239
2017-01-13_11:13:31.494,349,-41,3761,-30,-3,-8
2017-01-13_11:13:31.498,346,-32,3793,-43,-5,-16
2017-01-13_11:13:31.501,338,-31,3772,-69,9,251
2017-01-13_11:13:31.505,353,-22,3806,-44,225,-7
2017-01-13_11:13:31.509,344,-30,3803,-12,6,-26
2017-01-13_11:13:31.512,355,-39,3773,-49,232,-238
2017-01-13_11:13:31.516,351,-7,3817,-71,-1,-10
2017-01-13_11:13:31.519,355,-31,3791,-28,-18,-27
2017-01-13_11:13:31.523,342,-46,3779,-67,-1,248
2017-01-13_11:13:31.527,344,-55,3783,-52,-22,-29
2017-01-13_11:13:31.530,354,-46,3786,-32,-6,-18
2017-01-13_11:13:31.534,325,-54,3765,-39,-253,2
2017-01-13_11:13:31.538,364,-48,3786,-69,-2,-28
2017-01-13_11:13:31.541,359,-40,3816,-59,15,-256
2017-01-13_11:13:31.545,335,-19,3809,-25,-255,-1
2017-01-13_11:13:31.548,348,-25,3802,-50,-1,-8
2017-01-13_11:13:31.552,341,-37,3793,-76,-255,245
2017-01-13_11:13:31.556,367,-43,3834,-12,-23,240
2017-01-13_11:13:31.559,354,-43,3797,-59,-256,-13
2017-01-13_11:13:31.563,360,-25,3791,-78,-11,-256
2017-01-13_11:13:31.566,353,-26,3777,-38,-11,229
2017-01-13_11:13:31.570,348,-22,3802,-26,-20,-9
2017-01-13_11:13:31.574,370,-28,3777,-77,-16,-14
2017-01-13_11:13:31.577,351,-45,3776,-82,-14,-253
2017-01-13_11:13:31.581,357,-65,3810,-18,-7,-34
2017-01-13_11:13:31.585,347,-49,3776,-23,-252,244
2017-01-13_11:13:31.588,338,-20,3764,-78,240,-253
2017-01-13_11:13:31.592,344,7,3773,-53,-9,238
2017-01-13_11:13:31.595,346,-56,3814,-24,-2,-217
2017-01-13_11:13:31.599,350,-55,3791,-66,-2,223
2017-01-13_11:13:31.603,320,-38,3775,-62,248,-2
2017-01-13_11:13:31.606,339,-44,3758,-26,-7,245
2017-01-13_11:13:31.610,355,-43,3794,-30,-1,7
2017-01-13_11:13:31.614,379,-45,3851,-87,-249,228
2017-01-13_11:13:31.617,380,-46,3794,-44,222,10
2017-01-13_11:13:31.621,348,-27,3747,-20,18,233
2017-01-13_11:13:31.624,328,-17,3814,-68,231,-226
2017-01-13_11:13:31.628,326,-17,3826,-60,-4,250
2017-01-13_11:13:31.632,377,-43,3811,-25,227,233
2017-01-13_11:13:31.635,354,-32,3763,-39,-44,-19
2017-01-13_11:13:31.639,359,-27,3803,-63,-244,-6
2017-01-13_11:13:31.642,332,-36,3825,-43,-238,-20
2017-01-13_11:13:31.646,333,-41,3796,-44,20,-251
