time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:46:01.683,-54,-57,3947,-91,-10,-21
2017-01-13_14:46:01.687,-11,-59,3940,-105,-15,-15
2017-01-13_14:46:01.691,-40,-89,3957,-115,-12,-39
2017-01-13_14:46:01.694,-64,-87,3915,-144,-22,-14
2017-01-13_14:46:01.698,-45,-57,3963,-89,-40,-31
2017-01-13_14:46:01.701,-5,-73,3951,-70,-24,-33
2017-01-13_14:46:01.705,-45,-76,3954,-72,-23,-46
2017-01-13_14:46:01.709,-1,-65,3907,-114,-51,-37
2017-01-13_14:46:01.712,-24,-69,3921,-127,-29,-44
2017-01-13_14:46:01.716,-34,-74,3923,-103,-42,-31
2017-01-13_14:46:01.719,-32,-70,3902,-93,-28,-48
2017-01-13_14:46:01.723,-38,-61,3910,-86,-21,-39
2017-01-13_14:46:01.726,-20,-82,3907,-92,-36,-52
2017-01-13_14:46:01.730,-38,-71,3918,-97,-20,-36
2017-01-13_14:46:01.733,-48,-51,3902,-112,-26,2
2017-01-13_14:46:01.737,-45,-65,3916,-127,-30,-22
2017-01-13_14:46:01.741,-42,-74,3928,-83,-39,-24
2017-01-13_14:46:01.744,-37,-76,3934,-86,-31,-42
2017-01-13_14:46:01.748,-24,-83,3911,-72,-21,-10
2017-01-13_14:46:01.751,-27,-64,3916,-132,-33,-46
2017-01-13_14:46:01.755,-53,-64,3897,-132,-18,-31
2017-01-13_14:46:01.759,-64,-68,3940,-131,-46,-57
2017-01-13_14:46:01.762,-23,-91,3901,-87,-21,-9
2017-01-13_14:46:01.766,-56,-78,3919,-83,-31,-35
2017-01-13_14:46:01.770,-55,-53,3922,-93,-26,-32
2017-01-13_14:46:01.773,-47,-71,3918,-140,-28,-7
2017-01-13_14:46:01.776,-18,-80,3920,-109,-25,-60
2017-01-13_14:46:01.780,-68,-61,3928,-128,-24,-38
2017-01-13_14:46:01.784,-58,-77,3928,-103,-53,-10
2017-01-13_14:46:01.787,-30,-61,3966,-71,-36,-14
2017-01-13_14:46:01.791,-25,-52,3919,-103,-16,-32
2017-01-13_14:46:01.794,-57,-62,3933,-105,-28,-21
2017-01-13_14:46:01.798,-35,-71,3906,-126,-8,-20
2017-01-13_14:46:01.802,-45,-64,3894,-113,-30,-4
2017-01-13_14:46:01.805,-16,-59,3942,-80,-21,-42
2017-01-13_14:46:01.809,-39,-65,3914,-94,-28,-6
2017-01-13_14:46:01.812,-53,-61,3892,-96,-22,-20
2017-01-13_14:46:01.816,-45,-58,3878,-117,-21,-36
2017-01-13_14:46:01.819,-18,-61,3900,-117,-39,-5
2017-01-13_14:46:01.823,-24,-54,3938,-122,-23,-22
2017-01-13_14:46:01.827,-38,-76,3905,-66,-31,-17
2017-01-13_14:46:01.830,-43,-67,3932,-120,-19,-33
2017-01-13_14:46:01.834,-31,-89,3918,-94,-40,-28
2017-01-13_14:46:01.837,-73,-101,3926,-107,-18,-2
2017-01-13_14:46:01.841,-44,-64,3924,-120,-27,-252
2017-01-13_14:46:01.844,-33,-58,3931,-124,-243,-37
2017-01-13_14:46:01.848,-30,-82,3895,-111,-44,-24
2017-01-13_14:46:01.852,-12,-43,3924,-99,-28,-28
2017-01-13_14:46:01.855,-62,-84,3955,-91,-27,-35
2017-01-13_14:46:01.859,-38,-67,3918,-130,-17,-17
2017-01-13_14:46:01.862,-11,-74,3941,-139,-26,-17
2017-01-13_14:46:01.865,-22,-85,3924,-124,194,-18
2017-01-13_14:46:01.869,-40,-53,3889,-88,-40,-30
2017-01-13_14:46:01.873,-29,-69,3930,-72,-4,-6
2017-01-13_14:46:01.876,-23,-85,3922,-92,-25,-42
2017-01-13_14:46:01.880,-18,-84,3935,-105,-42,-14
2017-01-13_14:46:01.883,-53,-91,3927,-117,-17,204
2017-01-13_14:46:01.887,-35,-63,3923,-121,-25,-1
2017-01-13_14:46:01.891,-51,-80,3919,-79,-39,230
2017-01-13_14:46:01.894,-27,-77,3926,-81,-41,223
2017-01-13_14:46:01.897,-51,-96,3912,-84,-43,-3
2017-01-13_14:46:01.902,-55,-34,3899,-82,-25,-15
2017-01-13_14:46:01.906,-33,-63,3893,-153,-2,-24
2017-01-13_14:46:01.909,-16,-78,3926,-129,-22,-32
2017-01-13_14:46:01.913,-40,-60,3932,-127,-20,202
2017-01-13_14:46:01.916,-35,-49,3908,-82,-13,-17
2017-01-13_14:46:01.920,-55,-69,3909,-87,-12,-13
2017-01-13_14:46:01.923,-66,-48,3924,-98,-15,-35
2017-01-13_14:46:01.927,-28,-63,3945,-132,-31,-44
2017-01-13_14:46:01.930,-22,-63,3917,-97,-4,-5
2017-01-13_14:46:01.934,-45,-73,3939,-82,-51,-21
2017-01-13_14:46:01.937,-24,-63,3941,-79,-24,-25
2017-01-13_14:46:01.941,-23,-55,3890,-84,-58,-9
2017-01-13_14:46:01.945,-23,-82,3934,-101,-10,-22
2017-01-13_14:46:01.948,-31,-78,3918,-124,-13,-56
