time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-11_15:30:14.441000,232,-31,3797,-71,226,16
2017-01-11_15:30:14.445000,252,-42,3809,-46,-26,-12
2017-01-11_15:30:14.448000,261,-31,3782,-39,241,-25
2017-01-11_15:30:14.452000,243,-54,3777,-65,-25,225
2017-01-11_15:30:14.456000,253,-43,3770,-41,-18,-30
2017-01-11_15:30:14.459000,229,-51,3772,-32,-9,-3
2017-01-11_15:30:14.463000,220,-44,3748,-39,241,-24
2017-01-11_15:30:14.467000,234,-34,3775,-64,-2,-12
2017-01-11_15:30:14.470000,234,-26,3758,-53,-10,246
2017-01-11_15:30:14.474000,255,-43,3766,-47,239,-251
2017-01-11_15:30:14.477000,242,-33,3806,-54,-237,-19
2017-01-11_15:30:14.481000,254,-46,3756,-53,1,-240
2017-01-11_15:30:14.485000,5,-39,3766,-39,-7,24
2017-01-11_15:30:14.488000,258,-30,3773,-62,-251,-24
2017-01-11_15:30:14.492000,240,-74,3769,-30,-255,-256
2017-01-11_15:30:14.496000,226,-31,3796,-23,-6,-231
2017-01-11_15:30:14.499000,232,-48,3780,-55,-11,-251
2017-01-11_15:30:14.503000,222,-33,3752,-71,-18,-223
2017-01-11_15:30:14.506000,234,-51,3731,-67,0,-31
2017-01-11_15:30:14.510000,240,-41,3791,-39,239,-20
2017-01-11_15:30:14.514000,246,-47,3780,-81,253,-3
2017-01-11_15:30:14.517000,235,-45,3781,-80,250,6
2017-01-11_15:30:14.521000,239,-42,3755,-13,-13,-247
2017-01-11_15:30:14.524000,243,-33,3775,-41,-231,16
2017-01-11_15:30:14.528000,259,-46,3781,-52,-16,-254
2017-01-11_15:30:14.532000,242,-38,3781,-54,-7,222
2017-01-11_15:30:14.535000,246,-57,3759,-17,-11,-218
2017-01-11_15:30:14.539000,245,-51,3793,-24,239,1
2017-01-11_15:30:14.543000,0,-41,3766,-65,-29,-251
2017-01-11_15:30:14.546000,234,-50,3810,-55,-3,-9
2017-01-11_15:30:14.550000,247,-45,3786,-23,-1,247
2017-01-11_15:30:14.553000,228,-23,3787,-55,238,-32
2017-01-11_15:30:14.557000,246,-30,3786,-48,-12,-251
2017-01-11_15:30:14.561000,246,-27,3759,-34,-12,-11
2017-01-11_15:30:14.564000,224,-67,3743,-57,-15,-4
2017-01-11_15:30:14.568000,243,-41,3805,-46,-254,-3
2017-01-11_15:30:14.572000,242,-19,3844,-30,-21,-249
2017-01-11_15:30:14.575000,231,-44,3760,-35,-4,-15
2017-01-11_15:30:14.579000,238,-26,3826,-45,-14,-237
2017-01-11_15:30:14.582000,237,-20,3761,-83,-10,-26
2017-01-11_15:30:14.586000,224,-44,3781,-19,-25,-252
2017-01-11_15:30:14.590000,243,-43,3797,-55,-253,-236
2017-01-11_15:30:14.593000,217,-51,3768,-62,-10,-254
2017-01-11_15:30:14.597000,241,-28,3789,-33,-251,-9
2017-01-11_15:30:14.601000,228,-49,3784,-39,-4,-234
2017-01-11_15:30:14.604000,236,-35,3756,-49,240,-32
2017-01-11_15:30:14.608000,237,-47,3799,-57,-22,-19
2017-01-11_15:30:14.611000,227,-42,3781,-28,246,8
2017-01-11_15:30:14.615000,240,-50,3762,-17,-1,-10
2017-01-11_15:30:14.619000,246,-47,3761,-74,-5,-13
2017-01-11_15:30:14.622000,223,-57,3748,-46,-14,250
2017-01-11_15:30:14.626000,249,-39,3788,-46,-7,200
2017-01-11_15:30:14.629000,214,-35,3775,-60,-249,-253
2017-01-11_15:30:14.633000,238,-39,3777,-51,239,230
