time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-11_15:30:18.155000,2,-39,3753,-100,-16,235
2017-01-11_15:30:18.159000,250,-41,3764,-43,-14,-20
2017-01-11_15:30:18.163000,267,-48,3751,-36,-18,235
2017-01-11_15:30:18.166000,3,-32,3742,-58,-254,-8
2017-01-11_15:30:18.170000,209,-42,3802,-52,-19,235
2017-01-11_15:30:18.173000,222,-66,3776,-49,-233,-1
2017-01-11_15:30:18.177000,230,-66,3789,-44,241,2
2017-01-11_15:30:18.181000,271,-20,3780,-48,-2,-14
2017-01-11_15:30:18.184000,508,-45,3794,-48,236,-20
2017-01-11_15:30:18.188000,234,-37,3763,-35,-9,-255
2017-01-11_15:30:18.191000,246,-35,3761,-62,7,-254
2017-01-11_15:30:18.195000,207,-65,3804,-52,-15,-4
2017-01-11_15:30:18.199000,217,-42,3802,-22,-1,-255
2017-01-11_15:30:18.202000,219,-57,3752,-62,-247,-9
2017-01-11_15:30:18.206000,227,-51,3776,-84,227,-17
2017-01-11_15:30:18.210000,254,-32,3801,-4,-12,-249
2017-01-11_15:30:18.213000,268,-58,3761,-22,241,226
2017-01-11_15:30:18.217000,221,-44,3768,-27,235,-247
2017-01-11_15:30:18.220000,213,-60,3783,-58,-16,2
2017-01-11_15:30:18.224000,230,-43,3789,-47,-14,-8
2017-01-11_15:30:18.228000,234,-55,3782,-40,248,-5
2017-01-11_15:30:18.231000,231,-65,3783,-73,226,-248
2017-01-11_15:30:18.235000,264,-45,3750,-55,13,16
2017-01-11_15:30:18.238000,251,-44,3716,-22,223,-17
2017-01-11_15:30:18.242000,235,-43,3774,-27,-239,14
2017-01-11_15:30:18.246000,223,-63,3770,-42,-5,-27
2017-01-11_15:30:18.249000,236,-32,3768,-29,-5,-12
2017-01-11_15:30:18.253000,240,-46,3752,-51,-5,252
2017-01-11_15:30:18.257000,271,-28,3744,-80,-20,-25
2017-01-11_15:30:18.260000,267,-37,3751,-31,-22,-239
2017-01-11_15:30:18.264000,237,-45,3782,-29,242,5
2017-01-11_15:30:18.267000,226,-39,3774,-62,242,-17
2017-01-11_15:30:18.271000,204,-35,3779,-71,-9,-249
2017-01-11_15:30:18.275000,258,-42,3792,-25,8,-250
2017-01-11_15:30:18.278000,254,-29,3764,-35,-17,-5
2017-01-11_15:30:18.282000,257,-37,3761,-78,8,222
2017-01-11_15:30:18.286000,249,-26,3782,-62,-15,21
2017-01-11_15:30:18.289000,249,-29,3788,-1,-2,219
2017-01-11_15:30:18.293000,12,-28,3763,-47,-10,-7
2017-01-11_15:30:18.296000,236,-38,3764,-83,5,3
2017-01-11_15:30:18.300000,250,-34,3777,-58,-6,-230
2017-01-11_15:30:18.304000,229,-52,3784,-50,8,-233
2017-01-11_15:30:18.307000,231,-46,3772,-64,231,-256
2017-01-11_15:30:18.311000,251,-47,3769,-39,-255,-9
2017-01-11_15:30:18.315000,221,-57,3816,-30,-8,-248
2017-01-11_15:30:18.318000,274,-40,3747,-54,-25,247
2017-01-11_15:30:18.322000,211,-36,3774,-85,-9,-2
2017-01-11_15:30:18.325000,271,-37,3756,-74,-16,235
2017-01-11_15:30:18.329000,227,-48,3794,-40,-10,-17
