time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:46:08.678,944,1565,3551,-121,-104,150
2017-01-13_14:46:08.681,932,1654,3468,-45,-66,148
2017-01-13_14:46:08.685,844,1726,3454,-69,-78,233
2017-01-13_14:46:08.689,895,1763,3455,-52,-14,478
2017-01-13_14:46:08.692,838,1754,3410,-100,-250,508
2017-01-13_14:46:08.696,877,1777,3422,-132,28,272
2017-01-13_14:46:08.699,946,1962,3414,-137,49,269
2017-01-13_14:46:08.703,926,1886,3455,-117,119,317
2017-01-13_14:46:08.706,1071,1942,3481,-117,164,275
2017-01-13_14:46:08.710,988,1833,3432,-186,211,501
2017-01-13_14:46:08.714,840,2146,3474,-264,475,251
2017-01-13_14:46:08.717,703,2173,3504,-332,506,194
2017-01-13_14:46:08.721,676,2117,3822,-372,282,148
2017-01-13_14:46:08.724,627,2143,3616,-382,293,122
2017-01-13_14:46:08.728,565,2052,3644,-442,335,112
2017-01-13_14:46:08.731,740,2111,3674,-471,325,52
2017-01-13_14:46:08.735,414,2000,3700,-517,339,20
2017-01-13_14:46:08.738,334,1908,3713,-556,291,238
2017-01-13_14:46:08.742,354,1853,3766,-554,294,-16
2017-01-13_14:46:08.746,346,1767,3713,-541,313,-36
2017-01-13_14:46:08.749,373,1680,3740,-531,276,-54
2017-01-13_14:46:08.753,352,1627,3713,-525,252,-57
2017-01-13_14:46:08.757,346,1565,3721,-537,487,-70
2017-01-13_14:46:08.761,368,1487,3748,-506,208,-93
2017-01-13_14:46:08.764,371,1412,3698,-493,217,-96
2017-01-13_14:46:08.768,312,1329,3694,-392,153,-78
2017-01-13_14:46:08.771,383,1228,3666,-384,141,-70
2017-01-13_14:46:08.775,355,1222,3676,-329,81,-67
2017-01-13_14:46:08.779,359,1147,3691,-340,71,-42
2017-01-13_14:46:08.782,323,1099,3712,-266,8,-65
2017-01-13_14:46:08.786,334,1036,3675,-188,-252,-17
2017-01-13_14:46:08.789,318,1041,3711,-110,-61,-2
2017-01-13_14:46:08.793,510,1049,3662,-51,-85,-250
2017-01-13_14:46:08.797,296,998,3669,-251,-153,-6
2017-01-13_14:46:08.800,240,1059,3643,15,-206,-7
2017-01-13_14:46:08.804,236,1125,3665,63,-262,-2
2017-01-13_14:46:08.807,217,1123,3613,116,-313,-22
2017-01-13_14:46:08.811,162,1187,3598,162,-363,3
2017-01-13_14:46:08.814,267,1223,3571,198,-402,-251
2017-01-13_14:46:08.818,327,1234,3341,199,-418,-49
2017-01-13_14:46:08.821,393,1286,3565,195,-402,-4
2017-01-13_14:46:08.825,561,1313,3528,221,-413,-58
2017-01-13_14:46:08.829,655,1418,3520,211,-359,-36
2017-01-13_14:46:08.832,716,1473,3474,199,-334,-62
2017-01-13_14:46:08.836,550,1524,3482,190,-280,-33
2017-01-13_14:46:08.839,819,1590,3456,161,-220,-15
2017-01-13_14:46:08.843,854,1606,3485,111,-156,-7
2017-01-13_14:46:08.847,847,1626,3430,49,-94,-3
2017-01-13_14:46:08.850,838,1617,3470,43,-58,-1
2017-01-13_14:46:08.854,824,1652,3458,3,-21,-10
2017-01-13_14:46:08.857,766,1615,3436,250,-229,-250
2017-01-13_14:46:08.861,737,1620,3436,-27,20,253
2017-01-13_14:46:08.865,652,1598,3440,-41,48,202
2017-01-13_14:46:08.868,617,1637,3409,-112,86,250
2017-01-13_14:46:08.871,651,1660,3436,-107,107,10
2017-01-13_14:46:08.875,564,1647,3452,-124,137,-14
2017-01-13_14:46:08.878,481,1616,3502,-110,114,-11
2017-01-13_14:46:08.882,440,1598,3490,-110,97,-30
2017-01-13_14:46:08.885,373,1575,3495,-123,108,-62
2017-01-13_14:46:08.889,375,1545,3545,-145,53,-62
2017-01-13_14:46:08.893,328,1532,3526,-128,38,-96
2017-01-13_14:46:08.896,392,1558,3593,-111,8,-95
2017-01-13_14:46:08.900,390,1587,3592,-60,235,-109
2017-01-13_14:46:08.903,504,1595,3817,-45,-13,-113
2017-01-13_14:46:08.907,568,1637,3598,-72,-4,-102
2017-01-13_14:46:08.911,621,1671,3583,-80,-250,-81
2017-01-13_14:46:08.914,664,1660,3604,-95,14,-82
2017-01-13_14:46:08.918,721,1678,3590,-52,2,-91
2017-01-13_14:46:08.921,713,1658,3573,-42,9,-86
2017-01-13_14:46:08.925,726,1661,3534,-42,5,-82
2017-01-13_14:46:08.928,709,1649,3558,-37,1,-120
2017-01-13_14:46:08.932,631,1627,3537,-63,-18,-114
2017-01-13_14:46:08.936,625,1640,3545,-54,-43,-93
2017-01-13_14:46:08.939,552,1640,3561,-14,-72,-106
2017-01-13_14:46:08.943,580,1703,3545,19,-95,-84
2017-01-13_14:46:08.946,532,1721,3541,-255,-107,-98
2017-01-13_14:46:08.950,577,1725,3541,-25,-125,-76
2017-01-13_14:46:08.953,560,1720,3595,-24,-138,-83
2017-01-13_14:46:08.958,627,1759,3573,-50,-134,-54
2017-01-13_14:46:08.961,688,1781,3554,220,-139,-61
2017-01-13_14:46:08.965,733,1813,3338,-35,-121,-55
2017-01-13_14:46:08.969,740,1773,3546,-41,-124,-55
2017-01-13_14:46:08.972,828,1785,3589,-62,-109,-32
2017-01-13_14:46:08.976,825,1746,3557,-60,-96,-72
2017-01-13_14:46:08.979,848,1711,3565,-101,-61,-55
2017-01-13_14:46:08.983,800,1661,3567,-54,-45,-40
2017-01-13_14:46:08.986,786,1705,3543,-56,-26,-9
2017-01-13_14:46:08.990,726,1716,3542,-50,-38,-16
2017-01-13_14:46:08.994,742,1689,3543,-84,-42,-21
2017-01-13_14:46:08.997,693,1651,3549,-88,-63,-13
2017-01-13_14:46:09.001,713,1646,3528,-108,-30,-11
2017-01-13_14:46:09.004,658,1652,3542,-93,-61,-39
