time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:36:18.401,0,0,0,0,0,0
2017-01-13_14:36:18.405,0,0,0,0,0,0
2017-01-13_14:36:18.409,0,0,0,0,0,0
2017-01-13_14:36:18.412,0,0,0,0,0,0
2017-01-13_14:36:18.416,0,0,0,0,0,0
2017-01-13_14:36:18.419,0,0,0,0,0,0
2017-01-13_14:36:18.423,0,0,0,0,0,0
2017-01-13_14:36:18.427,0,0,0,0,0,0
2017-01-13_14:36:18.431,0,0,0,0,0,0
2017-01-13_14:36:18.435,0,0,0,0,0,0
2017-01-13_14:36:18.438,0,0,0,0,0,0
2017-01-13_14:36:18.442,0,0,0,0,0,0
2017-01-13_14:36:18.445,0,0,0,0,0,0
2017-01-13_14:36:18.449,0,0,0,0,0,0
2017-01-13_14:36:18.453,0,0,0,0,0,0
2017-01-13_14:36:18.456,0,0,0,0,0,0
2017-01-13_14:36:18.460,0,0,0,0,0,0
2017-01-13_14:36:18.463,0,0,0,0,0,0
2017-01-13_14:36:18.467,0,0,0,0,0,0
2017-01-13_14:36:18.471,0,0,0,0,0,0
2017-01-13_14:36:18.474,0,0,0,0,0,0
2017-01-13_14:36:18.478,0,0,0,0,0,0
2017-01-13_14:36:18.482,0,0,0,0,0,0
2017-01-13_14:36:18.485,0,0,0,0,0,0
2017-01-13_14:36:18.489,0,0,0,0,0,0
2017-01-13_14:36:18.492,0,0,0,0,0,0
2017-01-13_14:36:18.495,0,0,0,0,0,0
2017-01-13_14:36:18.499,0,0,0,0,0,0
2017-01-13_14:36:18.503,0,0,0,0,0,0
2017-01-13_14:36:18.506,0,0,0,0,0,0
2017-01-13_14:36:18.510,0,0,0,0,0,0
2017-01-13_14:36:18.513,0,0,0,0,0,0
2017-01-13_14:36:18.517,0,0,0,0,0,0
2017-01-13_14:36:18.521,0,0,0,0,0,0
2017-01-13_14:36:18.524,0,0,0,0,0,0
2017-01-13_14:36:18.528,0,0,0,0,0,0
2017-01-13_14:36:18.531,0,0,0,0,0,0
2017-01-13_14:36:18.536,0,0,0,0,0,0
2017-01-13_14:36:18.539,0,0,0,0,0,0
2017-01-13_14:36:18.543,0,0,0,0,0,0
2017-01-13_14:36:18.546,0,0,0,0,0,0
2017-01-13_14:36:18.550,0,0,0,0,0,0
2017-01-13_14:36:18.554,0,0,0,0,0,0
2017-01-13_14:36:18.557,0,0,0,0,0,0
2017-01-13_14:36:18.561,0,0,0,0,0,0
2017-01-13_14:36:18.564,0,0,0,0,0,0
2017-01-13_14:36:18.568,0,0,0,0,0,0
2017-01-13_14:36:18.572,0,0,0,0,0,0
2017-01-13_14:36:18.575,0,0,0,0,0,0
2017-01-13_14:36:18.579,0,0,0,0,0,0
2017-01-13_14:36:18.582,0,0,0,0,0,0
2017-01-13_14:36:18.586,0,0,0,0,0,0
2017-01-13_14:36:18.590,0,0,0,0,0,0
2017-01-13_14:36:18.593,0,0,0,0,0,0
2017-01-13_14:36:18.597,0,0,0,0,0,0
2017-01-13_14:36:18.600,0,0,0,0,0,0
2017-01-13_14:36:18.604,0,0,0,0,0,0
2017-01-13_14:36:18.607,0,0,0,0,0,0
2017-01-13_14:36:18.611,0,0,0,0,0,0
2017-01-13_14:36:18.615,0,0,0,0,0,0
2017-01-13_14:36:18.618,0,0,0,0,0,0
2017-01-13_14:36:18.622,0,0,0,0,0,0
2017-01-13_14:36:18.625,0,0,0,0,0,0
2017-01-13_14:36:18.629,0,0,0,0,0,0
2017-01-13_14:36:18.633,0,0,0,0,0,0
2017-01-13_14:36:18.636,0,0,0,0,0,0
2017-01-13_14:36:18.640,0,0,0,0,0,0
2017-01-13_14:36:18.643,0,0,0,0,0,0
2017-01-13_14:36:18.647,0,0,0,0,0,0
2017-01-13_14:36:18.650,0,0,0,0,0,0
2017-01-13_14:36:18.654,0,0,0,0,0,0
2017-01-13_14:36:18.658,0,0,0,0,0,0
2017-01-13_14:36:18.662,0,0,0,0,0,0
2017-01-13_14:36:18.665,0,0,0,0,0,0
2017-01-13_14:36:18.670,0,0,0,0,0,0
2017-01-13_14:36:18.673,0,0,0,0,0,0
2017-01-13_14:36:18.677,0,0,0,0,0,0
2017-01-13_14:36:18.680,0,0,0,0,0,0
2017-01-13_14:36:18.684,0,0,0,0,0,0
2017-01-13_14:36:18.687,0,0,0,0,0,0
2017-01-13_14:36:18.691,0,0,0,0,0,0
2017-01-13_14:36:18.694,0,0,0,0,0,0
2017-01-13_14:36:18.698,0,0,0,0,0,0
2017-01-13_14:36:18.701,0,0,0,0,0,0
2017-01-13_14:36:18.705,0,0,0,0,0,0
2017-01-13_14:36:18.708,0,0,0,0,0,0
2017-01-13_14:36:18.712,0,0,0,0,0,0
2017-01-13_14:36:18.716,0,0,0,0,0,0
2017-01-13_14:36:18.719,0,0,0,0,0,0
2017-01-13_14:36:18.723,0,0,0,0,0,0
2017-01-13_14:36:18.726,0,0,0,0,0,0
2017-01-13_14:36:18.730,0,0,0,0,0,0
2017-01-13_14:36:18.734,0,0,0,0,0,0
2017-01-13_14:36:18.738,0,0,0,0,0,0
2017-01-13_14:36:18.741,0,0,0,0,0,0
2017-01-13_14:36:18.744,0,0,0,0,0,0
2017-01-13_14:36:18.748,0,0,0,0,0,0
2017-01-13_14:36:18.752,0,0,0,0,0,0
2017-01-13_14:36:18.755,0,0,0,0,0,0
2017-01-13_14:36:18.760,0,0,0,0,0,0
2017-01-13_14:36:18.763,0,0,0,0,0,0
2017-01-13_14:36:18.767,0,0,0,0,0,0
2017-01-13_14:36:18.771,0,0,0,0,0,0
2017-01-13_14:36:18.774,0,0,0,0,0,0
2017-01-13_14:36:18.778,0,0,0,0,0,0
2017-01-13_14:36:18.781,0,0,0,0,0,0
2017-01-13_14:36:18.785,0,0,0,0,0,0
2017-01-13_14:36:18.788,0,0,0,0,0,0
2017-01-13_14:36:18.792,0,0,0,0,0,0
2017-01-13_14:36:18.796,0,0,0,0,0,0
2017-01-13_14:36:18.799,0,0,0,0,0,0
2017-01-13_14:36:18.803,0,0,0,0,0,0
2017-01-13_14:36:18.806,0,0,0,0,0,0
2017-01-13_14:36:18.810,0,0,0,0,0,0
2017-01-13_14:36:18.814,0,0,0,0,0,0
2017-01-13_14:36:18.817,0,0,0,0,0,0
2017-01-13_14:36:18.821,0,0,0,0,0,0
2017-01-13_14:36:18.824,0,0,0,0,0,0
2017-01-13_14:36:18.828,0,0,0,0,0,0
2017-01-13_14:36:18.832,0,0,0,0,0,0
2017-01-13_14:36:18.835,0,0,0,0,0,0
2017-01-13_14:36:18.839,0,0,0,0,0,0
2017-01-13_14:36:18.843,0,0,0,0,0,0
2017-01-13_14:36:18.846,0,0,0,0,0,0
2017-01-13_14:36:18.850,0,0,0,0,0,0
2017-01-13_14:36:18.853,0,0,0,0,0,0
2017-01-13_14:36:18.857,0,0,0,0,0,0
2017-01-13_14:36:18.860,0,0,0,0,0,0
2017-01-13_14:36:18.864,0,0,0,0,0,0
2017-01-13_14:36:18.868,0,0,0,0,0,0
2017-01-13_14:36:18.871,0,0,0,0,0,0
2017-01-13_14:36:18.875,0,0,0,0,0,0
2017-01-13_14:36:18.879,0,0,0,0,0,0
2017-01-13_14:36:18.882,0,0,0,0,0,0
2017-01-13_14:36:18.886,0,0,0,0,0,0
2017-01-13_14:36:18.890,0,0,0,0,0,0
2017-01-13_14:36:18.894,0,0,0,0,0,0
2017-01-13_14:36:18.897,0,0,0,0,0,0
2017-01-13_14:36:18.900,0,0,0,0,0,0
2017-01-13_14:36:18.903,0,0,0,0,0,0
2017-01-13_14:36:18.907,0,0,0,0,0,0
2017-01-13_14:36:18.912,0,0,0,0,0,0
2017-01-13_14:36:18.915,0,0,0,0,0,0
2017-01-13_14:36:18.919,0,0,0,0,0,0
2017-01-13_14:36:18.922,0,0,0,0,0,0
2017-01-13_14:36:18.926,0,0,0,0,0,0
2017-01-13_14:36:18.929,0,0,0,0,0,0
2017-01-13_14:36:18.933,0,0,0,0,0,0
2017-01-13_14:36:18.936,0,0,0,0,0,0
2017-01-13_14:36:18.940,0,0,0,0,0,0
2017-01-13_14:36:18.944,0,0,0,0,0,0
2017-01-13_14:36:18.947,0,0,0,0,0,0
2017-01-13_14:36:18.951,0,0,0,0,0,0
2017-01-13_14:36:18.955,0,0,0,0,0,0
2017-01-13_14:36:18.958,0,0,0,0,0,0
2017-01-13_14:36:18.962,0,0,0,0,0,0
2017-01-13_14:36:18.965,0,0,0,0,0,0
2017-01-13_14:36:18.969,0,0,0,0,0,0
2017-01-13_14:36:18.973,0,0,0,0,0,0
2017-01-13_14:36:18.976,0,0,0,0,0,0
2017-01-13_14:36:18.980,0,0,0,0,0,0
2017-01-13_14:36:18.983,0,0,0,0,0,0
2017-01-13_14:36:18.987,0,0,0,0,0,0
2017-01-13_14:36:18.991,0,0,0,0,0,0
2017-01-13_14:36:18.994,0,0,0,0,0,0
2017-01-13_14:36:18.997,0,0,0,0,0,0
2017-01-13_14:36:19.001,0,0,0,0,0,0
2017-01-13_14:36:19.005,0,0,0,0,0,0
2017-01-13_14:36:19.009,0,0,0,0,0,0
2017-01-13_14:36:19.013,0,0,0,0,0,0
2017-01-13_14:36:19.016,0,0,0,0,0,0
2017-01-13_14:36:19.020,0,0,0,0,0,0
2017-01-13_14:36:19.023,0,0,0,0,0,0
2017-01-13_14:36:19.027,0,0,0,0,0,0
2017-01-13_14:36:19.031,0,0,0,0,0,0
2017-01-13_14:36:19.034,0,0,0,0,0,0
2017-01-13_14:36:19.038,0,0,0,0,0,0
